claimantuser,password,citizenUser,citizenPassword
st-superuser2@mailinator.com,Pa55w0rd11,familyprivatelaw23@gmail.com,Password07
st-superuser3@mailinator.com,Pa55w0rd11,familyprivatelaw38@gmail.com,Password07
st-superuser4@mailinator.com,Pa55w0rd11,familyprivatelaw39@gmail.com,Password07
st-superuser5@mailinator.com,Pa55w0rd11,familyprivatelaw40@gmail.com,Password07
st-superuser6@mailinator.com,Pa55w0rd11,familyprivatelaw41@gmail.com,Password07
st-superuser7@mailinator.com,Pa55w0rd11,familyprivatelaw42@gmail.com,Password07
st-superuser8@mailinator.com,Pa55w0rd11,familyprivatelaw43@gmail.com,Password07
st-superuser9@mailinator.com,Pa55w0rd11,familyprivatelaw44@gmail.com,Password07
st-superuser10@mailinator.com,Pa55w0rd11,familyprivatelaw45@gmail.com,Password07
st-superuser11@mailinator.com,Pa55w0rd11,familyprivatelaw46@gmail.com,Password07
